Cena,Miasto,Dzielnica,Cena za m2,M2,Pokoje,Pietro,Szerokosc,Dlugosc
699000,Gdańsk,Łostowice,8956,78.04,4,2,54.3143954,18.5946641
850000,Gdańsk,Długie ogrody,11643,73.0,3,1,54.34695075,18.66372656576548
549000,Gdańsk,Wrzeszcz,11631,47.2,2,1,54.383418,18.6241828
379000,Gdańsk,Chełm,8613,44.0,2,1,54.3401836,18.6279607
569000,Gdynia,Redłowo,13770,41.32,2,4,54.4922073,18.553742873636363
489000,Gdynia,Działki Leśne,12225,40.0,2,2,54.5155466,18.5320359
599000,Gdańsk,Ujeścisko,11278,53.11,3,10,54.3335069,18.5857229
325000,Gdynia,Chylonia,11732,27.7,1,1,54.5392602,18.471961
980000,Gdynia,Działki Leśne,10979,89.26,4,3,54.5154303,18.5302846
840000,Gdańsk,Wrzeszcz,10243,82.0,3,1,54.3810192,18.6026969
799000,Gdańsk,Kiełpinek,11925,67.0,3,5,54.3528312,18.5303177
1140000,Gdańsk,Wrzeszcz,19144,59.55,3,4,54.3844677,18.5893686
619000,Gdańsk,Zaspa,9763,63.4,3,0,54.3885698,18.6030886
799000,Gdynia,Mały Kack,11254,71.0,2,0,54.4693261,18.5190236
599000,Gdańsk,Zakoniczyn,8573,69.87,3,2,54.3200784,18.5875564
769000,Gdańsk,Jasień,12838,59.9,3,1,54.3482702,18.5518862
1499000,Gdańsk,Śródmieście,35171,42.62,2,8,54.3456228,18.6558958
449000,Gdańsk,Wrzeszcz,9532,47.1,3,1,54.3828595,18.5848639
629000,Gdańsk,Łostowice,12847,48.96,3,2,54.31051,18.5888248
999000,Gdańsk,Osowa,9990,100.0,4,4,54.4302987,18.4793154
565000,Gdańsk,Chełm,8911,63.4,4,2,54.3413356,18.6173376
568000,Gdynia,Wielki Kack,9992,56.84,3,2,54.4508963,18.457531
585000,Gdańsk,Przeróbka,10336,56.6,3,3,54.3563053,18.6825147
599000,Gdańsk,Osowa,9835,60.9,3,2,54.4193835,18.4832671
450000,Gdańsk,Jasień,10089,44.6,2,4,54.3358541,18.5570297
419000,Gdańsk,Przymorze,14964,28.0,2,2,54.4141882,18.598898
637000,Gdańsk,Orunia Górna,10095,63.1,3,0,54.328371,18.6220384
945000,Gdańsk,Przymorze,14928,63.3,3,0,54.4158038,18.5869742
430000,Gdańsk,Jasień,10117,42.5,2,9,54.3238638,18.5586781
1010000,Gdańsk,Przymorze,16031,63.0,3,1,54.4087838,18.5891854
1950000,Gdynia,Śródmieście,24683,79.0,4,4,54.5207059,18.54037
489000,Gdynia,Chylonia,9055,54.0,3,1,54.5448438,18.4619638
379000,Gdynia,Witomino,10828,35.0,2,0,54.4984985,18.509001
479000,Gdynia,Witomino,11139,43.0,2,0,54.4980971,18.509797
1359999,Sopot,Dolny Sopot,19428,70.0,4,0,54.4429902,18.5662611
419000,Gdynia,Chylonia,10219,41.0,2,0,54.5416064,18.4692466
825000,Sopot,Kamienny Potok,11458,72.0,4,5,54.4535297,18.5550276
649000,Gdańsk,Zaspa,10639,61.0,3,5,54.3975453,18.5955881
1323000,Gdańsk,Długie ogrody,24500,54.0,2,0,54.3445039,18.6632833
569000,Gdańsk,Jasień,10478,54.3,2,2,54.3400353,18.563022
799000,Gdynia,Redłowo,20320,39.32,2,0,54.4868818,18.5468412
525000,Gdynia,Redłowo,9980,52.6,2,3,54.4944768,18.5505612
1550000,Sopot,Dolny Sopot,27399,56.57,2,4,54.4427713,18.5708394
1282000,Gdynia,Mały Kack,13995,91.6,3,0,54.4736509,18.5070401
749000,Gdynia,Wiczlino,13108,57.14,3,3,54.4859199,18.4237969
645000,Gdańsk,Dolne miasto,16125,40.0,2,0,54.3400512,18.6541733
1070000,Gdańsk,Letnica,14484,73.87,3,1,54.3986679,18.646464
309000,Gdańsk,Nowy Port,11035,28.0,1,0,54.4026276,18.6635033
479000,Gdańsk,Zakoniczyn,8709,55.0,3,1,54.3254632,18.582743
649000,Gdynia,Karwiny,10285,63.1,4,12,54.4722746,18.4948404
775000,Gdańsk,Przymorze,17613,44.0,2,0,54.4059819,18.6039015
1100000,Gdańsk,Wrzeszcz,13022,84.47,4,2,54.3750671,18.6134272
649000,Gdańsk,Śródmieście,16641,39.0,2,5,54.3540791,18.6549669
765000,Gdańsk,Śródmieście,21327,35.87,2,1,54.3584458,18.6514304
409000,Gdańsk,Stogi,11685,35.0,2,0,54.3613318,18.7109654
990000,Gdynia,Redłowo,19800,50.0,2,12,54.4939715,18.5482429
4500000,Gdańsk,Wrzeszcz,35714,126.0,5,1,54.3945614,18.6183213
1399000,Gdańsk,Śródmieście,13074,107.0,3,0,54.3524023,18.6492245
1100000,Gdynia,Mały Kack,14120,77.9,3,1,54.4693261,18.5190236
430000,Gdańsk,Jasień,13129,32.75,2,0,54.3272503,18.5595174
409000,Gdańsk,Chełm,11685,35.0,2,1,54.3403608,18.6186983
489999,Gdańsk,Siedlce,9193,53.3,2,0,54.3537588,18.6214977
529000,Gdańsk,Łostowice,8493,62.28,3,3,54.3143954,18.5946641
439000,Gdynia,Karwiny,8540,51.4,2,1,54.4722482,18.4924099
999000,Gdańsk,Śródmieście,17839,56.0,3,1,54.3521336,18.6493113
575000,Gdańsk,Przymorze,12777,45.0,2,1,54.4059819,18.6039015
839000,Gdańsk,Młode miasto,14982,56.0,2,3,54.3600026,18.6569874
385000,Gdańsk,Ujeścisko,11846,32.5,2,0,54.327724,18.5925125
767500,Gdynia,Wiczlino,10964,70.0,3,1,54.4866168,18.4280547
579000,Gdańsk,Siedlce,11913,48.6,3,1,54.3493986,18.6355331
469000,Gdańsk,Stogi,8542,54.9,2,1,54.3588553,18.7078066
469000,Gdańsk,Chełm,13148,35.67,2,3,54.3326888,18.6110223
990000,Gdańsk,Wrzeszcz,15541,63.7,3,1,54.3965758,18.6178476
489000,Gdynia,Wielki Kack,7899,61.9,2,3,54.4676217,18.48157
669000,Gdańsk,Letnica,15204,44.0,2,1,54.3981198,18.6476667
549000,Gdańsk,Kowale,9305,59.0,3,3,54.3043859,18.5685833
449000,Gdynia,Obłuże,8503,52.8,3,0,54.5543531,18.52428443988323
289000,Gdańsk,Łostowice,11560,25.0,1,0,54.3152398,18.5911515
599000,Gdańsk,Zakoniczyn,9983,60.0,3,2,54.318336,18.5676373
599000,Gdynia,Wiczlino,11098,53.97,3,2,54.4866168,18.4280547
579000,Gdańsk,Jasień,9338,62.0,3,2,54.3425831,18.5638165
420000,Gdańsk,Stogi,9767,43.0,2,2,54.358222,18.7053712
895000,Gdańsk,Śródmieście,14489,61.77,3,4,54.3561587,18.6503132
1950000,Gdańsk,Stare Przedmieście,21666,90.0,3,1,54.3446869,18.6516446
849000,Gdańsk,Wrzeszcz,11841,71.7,4,2,54.3768101,18.61329207601881
1070000,Gdynia,Mały Kack,14494,73.82,3,0,54.4724642,18.508711
1250000,Gdańsk,Śródmieście,21551,58.0,3,0,54.3556503,18.6489283
410000,Gdańsk,Żabianka,18636,22.0,1,3,54.4176938,18.5899494
679000,Gdańsk,Strzyża,13913,48.8,3,2,54.3870466,18.5907756
775000,Gdańsk,Wrzeszcz,18953,40.89,2,1,54.3945614,18.6183213
