,Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro,Currency,Miasto,Dzielnica,Wspolrzedne,Szerokosc,Dlugosc
3551,"Gdańsk Przymorze, Poznańska",1499000,14990,100.0,5,5,PLN,Gdańsk,Przymorze,"Poznańska, Wojnowo, Przymorze Małe, Gdańsk, województwo pomorskie, 80-359, Polska",54.4150545,18.5790774
3552,"Gdańsk Sobieszewo, Nadwiślańska",890000,6506,136.78,2,3,PLN,Gdańsk,Sobieszewo,"Nadwiślańska, Sobieszewo, Wyspa Sobieszewska, Gdańsk, województwo pomorskie, 80-680, Polska",54.3462653,18.8195212
3553,"Gdynia Grabówek, Bronisława Dembińskiego",1799000,18546,97.0,2,3,PLN,Gdynia,Grabówek,"Bronisława Dembińskiego, Grabówek, Gdynia, województwo pomorskie, 81-236, Polska",54.5278981,18.4937821
3554,"Gdynia Redłowo, Legionów",948000,19190,49.4,2,0,PLN,Gdynia,Redłowo,"Legionów, Redłowo, Gdynia, województwo pomorskie, 81-472, Polska",54.4911699,18.5434649
3555,Gdańsk Stogi,479000,10128,47.29,2,1,PLN,Gdańsk,Stogi,"Stogi, Gdańsk, województwo pomorskie, Polska",54.3739022,18.7031185
3556,"Gdańsk Żabianka, Gospody",465000,13323,34.9,3,0,PLN,Gdańsk,Żabianka,"Gospody, Żabianka, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, 80-340, Polska",54.4245047,18.5775911
3557,"Gdynia Obłuże / Oksywie, Błękitna",399000,12090,33.0,3,1,PLN,Gdynia,Oksywie,,,
3558,"Gdynia Obłuże, Konstantego Maciejewicza",399000,6562,60.8,5,1,PLN,Gdynia,Obłuże,"Konstantego Maciejewicza, Stare Obłuże, Obłuże, Gdynia, województwo pomorskie, 81-157, Polska",54.5609501,18.5093489
3559,"Gdynia Pogórze, Kmdr. Bolesława Romanowskiego",350000,6293,55.61,3,0,PLN,Gdynia,Pogórze,,,
3560,"Gdynia Oksywie, Bosmańska",999000,10912,91.55,5,5,PLN,Gdynia,Oksywie,"Bosmańska, Oksywie, Gdynia, województwo pomorskie, 81-114, Polska",54.5488509,18.5302022
3561,"Gdynia Wielki Kack, Szefki Waleriana",999000,11878,84.1,2,3,PLN,Gdynia,Wielki Kack,"Waleriana Szefki, Wielki Kack, Gdynia, województwo pomorskie, 81-572, Polska",54.467454,18.4899048
3562,"Gdańsk Oliwa, Kasprowicza",1895000,15835,119.67,3,0,PLN,Gdańsk,Oliwa,"Jana Kasprowicza, Dwór III, Oliwa, Gdańsk, województwo pomorskie, 80-319, Polska",54.4007004,18.5646579
3563,"Gdynia Śródmieście, Abrahama",561000,17000,33.0,3,5,PLN,Gdynia,Śródmieście,"Pomnik Antoniego Abrahama, Plac Kaszubski, Śródmieście, Gdynia, województwo pomorskie, 81-350, Polska",54.522032,18.5430157
3564,"Gdańsk Ujeścisko, Anny Jagiellonki",769900,11736,65.6,3,0,PLN,Gdańsk,Ujeścisko,,,
3565,"Gdańsk Siedlce, Szara 9",690000,12454,55.4,1,4,PLN,Gdańsk,Siedlce,"9, Szara, Emaus, Siedlce, Gdańsk, województwo pomorskie, 80-116, Polska",54.34868815,18.611562337191312
3566,"Gdańsk Suchanino, Powstańców Warszawskich",499000,9415,53.0,3,10,PLN,Gdańsk,Suchanino,"Powstańców Warszawskich, Suchanino, Gdańsk, województwo pomorskie, 80-165, Polska",54.3575178,18.6200653
3567,"Gdańsk Łostowice, Jagiełły",267950,9294,28.83,3,0,PLN,Gdańsk,Łostowice,,,
3568,"Gdynia Wzgórze św. Maksymiliana, Partyzantów",799000,16440,48.6,3,1,PLN,Gdynia,,"Partyzantów, Wzgórze Świętego Maksymiliana, Gdynia, województwo pomorskie, 81-405, Polska",54.5065737,18.5450382
3569,"Gdańsk Przymorze, Śląska",550000,11000,50.0,3,2,PLN,Gdańsk,Przymorze,"Śląska, Przymorze Małe, Gdańsk, województwo pomorskie, 80-379, Polska",54.4066572,18.5836606
3570,"Gdańsk Wrzeszcz, Joachima Lelewela",1332000,18500,72.0,2,9,PLN,Gdańsk,Wrzeszcz,"Joachima Lelewela, Brunów, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-442, Polska",54.3833813,18.6127526
3571,"Gdańsk Wrzeszcz, Partyzantów",1330000,18219,73.0,3,1,PLN,Gdańsk,Wrzeszcz,"Partyzantów, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-249, Polska",54.3766522,18.6075306
3572,"Sopot Dolny Sopot, Lipowa",549000,10958,50.1,2,1,PLN,Sopot,Dolny Sopot,,,
3573,"Gdańsk Oliwa, Stanisława Witkiewicza",1649000,17731,93.0,3,1,PLN,Gdańsk,Oliwa,"Stanisława Witkiewicza, Dwór I, Oliwa, Gdańsk, województwo pomorskie, 80-310, Polska",54.4056989,18.5610567
3574,"Gdańsk Długie Ogrody, Angielska Grobla",999000,21210,47.1,2,5,PLN,Gdańsk,Długie ogrody,"Angielska Grobla, Ołowianka, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3505768,18.6615653
3575,"Gdańsk Wrzeszcz, Juliusza Słowackiego",969999,13837,70.1,3,3,PLN,Gdańsk,Wrzeszcz,"Juliusza Słowackiego, Strzyża Dolna, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-262, Polska",54.3823293,18.5980892
3576,Gdynia Chylonia,309000,7725,40.0,3,2,PLN,Gdynia,Chylonia,"Gdynia Chylonia, Meksykańska, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-025, Polska",54.5457503,18.4636617
3577,"Gdańsk Śródmieście, Ogarna",899900,14352,62.7,3,9,PLN,Gdańsk,Śródmieście,"Ogarna, Główne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-818, Polska",54.3487517,18.6471706
3578,"Gdańsk Chełm, Jana Styp-rekowskiego",519000,11043,47.0,2,3,PLN,Gdańsk,Chełm,"Jana Styp-Rekowskiego, Stary Chełm, Chełm, Gdańsk, województwo pomorskie, 80-808, Polska",54.3417922,18.6278463
3579,"Gdańsk Morena, Myśliwska",749000,11889,63.0,2,0,PLN,Gdańsk,Morena,,,
3580,"Gdańsk Żabianka , Jakuba Wejhera",499000,15593,32.0,1,4,PLN,Gdańsk,Żabianka,"Jakuba Wejhera, Wejhera, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, 80-344, Polska",54.4208948,18.5826737
3581,"Gdańsk Długie Ogrody, Siennicka",519000,9436,55.0,2,0,PLN,Gdańsk,Długie ogrody,"Siennicka, Knipawa Rudno, Śródmieście, Gdańsk, województwo pomorskie, 80-728, Polska",54.3483443,18.6698787
3582,"Gdańsk Siedlce, Jacka Malczewskiego",370000,11935,31.0,2,4,PLN,Gdańsk,Siedlce,"Jacka Malczewskiego, Kolonia Spójnia, Siedlce, Gdańsk, województwo pomorskie, 80-105, Polska",54.3493986,18.6355331
3583,"Gdańsk Wrzeszcz, Jesionowa",489000,12506,39.1,2,3,PLN,Gdańsk,Wrzeszcz,"Jesionowa, Strzyża Dolna, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-261, Polska",54.3805962,18.5997693
3584,"Gdańsk Orunia, Stefana Ramułta",644000,10062,64.0,3,8,PLN,Gdańsk,Orunia,"Stefana Ramułta, Orunia, Orunia - Święty Wojciech - Lipce, Gdańsk, województwo pomorskie, 80-061, Polska",54.3210467,18.6360201
3585,"Gdańsk Brzeźno, Gdańska",529900,12617,42.0,2,3,PLN,Gdańsk,Brzeźno,"Gdańska, Brzeźno, Gdańsk, województwo pomorskie, Polska",54.401323500000004,18.633564406011097
3586,"Gdańsk Chełm, Stanisława Hebanowskiego",669000,10619,63.0,2,3,PLN,Gdańsk,Chełm,"Stanisława Hebanowskiego, Chełm B, Chełm, Gdańsk, województwo pomorskie, 80-036, Polska",54.3320361,18.6290213
3587,"Gdańsk Łostowice, Niepołomicka",359000,10039,35.76,2,3,PLN,Gdańsk,Łostowice,"Niepołomicka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3143954,18.5946641
3588,"Gdańsk Wrzeszcz, Aldony",599999,12500,48.0,3,2,PLN,Gdańsk,Wrzeszcz,"Aldony, Brunów, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-422, Polska",54.382458,18.6127532
3589,"Gdańsk Brzeźno, Gdańska",878000,15485,56.7,3,1,PLN,Gdańsk,Brzeźno,"Gdańska, Brzeźno, Gdańsk, województwo pomorskie, Polska",54.401323500000004,18.633564406011097
3590,"Gdynia Grabówek, Kmdr. Przybyszewskiego",499000,9633,51.8,2,4,PLN,Gdynia,Grabówek,,,
3591,Gdynia Obłuże,499000,10395,48.0,3,3,PLN,Gdynia,Obłuże,"Obłuże, Gdynia, województwo pomorskie, Polska",54.5531148,18.5175055
3592,"Sopot Dolny Sopot, Józefa Czyżewskiego",1439999,19329,74.5,2,1,PLN,Sopot,Dolny Sopot,"Józefa Czyżewskiego, Sopot Dolny, Sopot, województwo pomorskie, 81-706, Polska",54.4442176,18.5630792
3593,"Gdańsk Zaspa, Pilotów",1029999,13205,78.0,4,1,PLN,Gdańsk,Zaspa,"Pilotów, Młyniec, Zaspa-Młyniec, Gdańsk, województwo pomorskie, 80-460, Polska",54.394244,18.5874811
3594,"Gdańsk Łostowice, Niepołomicka",419000,10713,39.11,6,6,PLN,Gdańsk,Łostowice,"Niepołomicka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3143954,18.5946641
3595,"Gdańsk Wrzeszcz, Joachima Lelewela",1332000,18500,72.0,2,2,PLN,Gdańsk,Wrzeszcz,"Joachima Lelewela, Brunów, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-442, Polska",54.3833813,18.6127526
3596,"Gdynia Dąbrowa, Miętowa",1480000,11709,126.4,2,3,PLN,Gdynia,Dąbrowa,"Miętowa, Dąbrówka, Dąbrowa, Gdynia, województwo pomorskie, 81-589, Polska",54.4743403,18.4564295
3597,"Gdańsk Łostowice, Olimpijska",459000,10431,44.0,2,5,PLN,Gdańsk,Łostowice,,,
3598,"Gdynia Leszczynki, Bronisława Dembińskiego",485000,13179,36.8,3,1,PLN,Gdynia,Leszczynki,"Bronisława Dembińskiego, Osiedle Pekin, Leszczynki, Gdynia, województwo pomorskie, 81-237, Polska",54.526253,18.4890897
3599,"Gdańsk Przymorze, Kołobrzeska",465000,9894,47.0,5,3,PLN,Gdańsk,Przymorze,"Kołobrzeska, Mała Warszawa, Przymorze Małe, Gdańsk, województwo pomorskie, 80-323, Polska",54.4016383,18.5772394
3600,"Gdańsk Oliwa, Wita Stwosza",699000,9357,74.7,3,0,PLN,Gdańsk,Oliwa,"Wita Stwosza, Dwór VIII, Oliwa, Gdańsk, województwo pomorskie, 80-308, Polska",54.3987057,18.5688676
3601,"Gdańsk Wrzeszcz, Ludwika Waryńskiego",1190000,9370,127.0,3,0,PLN,Gdańsk,Wrzeszcz,"Ludwika Waryńskiego, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-242, Polska",54.378644,18.6118977
3602,"Gdańsk Ujeścisko, Wawelska",699000,10754,65.0,4,5,PLN,Gdańsk,Ujeścisko,,,
3603,"Gdynia Wiczlino, Stanisława Filipkowskiego",749000,10549,71.0,2,1,PLN,Gdynia,Wiczlino,"Stanisława Filipkowskiego, Wiczlino - Ogród, Chwarzno-Wiczlino, Gdynia, województwo pomorskie, 81-577, Polska",54.4866168,18.4280547
3604,"Gdańsk Morena, Królewskie Wzgórze",1190000,11900,100.0,2,10,PLN,Gdańsk,Morena,,,
3605,"Gdynia Pustki Cisowskie, Jałowcowa",429000,5168,83.01,1,1,PLN,Gdynia,Pustki Cisowskie,"Jałowcowa, Pustki Cisowskie-Demptowo, Pustki Cisowskie, Pustki-Demptowo, Gdynia, województwo pomorskie, 81-082, Polska",54.5326185,18.449443
3606,"Gdynia Witomino, Polskiego Czerwonego Krzyża",375000,10623,35.3,4,1,PLN,Gdynia,Witomino,"Polskiego Czerwonego Krzyża, Witomino-Radiostacja, Witomino, Gdynia, województwo pomorskie, 81-651, Polska",54.4983852,18.5142701
3607,Gdynia Śródmieście,360000,14400,25.0,3,1,PLN,Gdynia,Śródmieście,"Śródmieście, Gdynia, województwo pomorskie, Polska",54.5197073,18.5391734
3608,"Sopot Dolny Sopot, Parkowa",2700000,32104,84.1,6,2,PLN,Sopot,Dolny Sopot,"Parkowa, Sopot Dolny, Sopot, województwo pomorskie, 81-727, Polska",54.4412515,18.5729606
3609,"Gdańsk Przymorze, Aleja Rzeczypospolitej",1249000,19215,65.0,3,2,PLN,Gdańsk,Przymorze,"Aleja Rzeczypospolitej, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-362, Polska",54.4034704,18.5910556
3610,"Gdańsk Długie Ogrody, Angielska Grobla",2100000,21000,100.0,3,3,PLN,Gdańsk,Długie ogrody,"Angielska Grobla, Ołowianka, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3505768,18.6615653
3611,"Gdańsk Brzeźno, Konrada Korzeniowskiego",1100000,11340,97.0,3,4,PLN,Gdańsk,Brzeźno,"Konrada Korzeniowskiego, Brzeźno, Gdańsk, województwo pomorskie, 80-508, Polska",54.4074404,18.6299644
3612,"Gdańsk Suchanino, Piotra Czajkowskiego",790000,10895,72.51,3,3,PLN,Gdańsk,Suchanino,"Piotra Czajkowskiego, Trzy Lipy, Suchanino, Gdańsk, województwo pomorskie, 80-169, Polska",54.3540595,18.6019997
3613,"Gdańsk Brzeźno, Łozy",599000,10508,57.0,2,2,PLN,Gdańsk,Brzeźno,"Łozy, Brzeźno, Gdańsk, województwo pomorskie, 80-516, Polska",54.4034316,18.6371331
3614,"Gdynia Orłowo, Bernadowska",1676000,29929,56.0,5,0,PLN,Gdynia,Orłowo,"Bernadowska, Kolibki, Orłowo, Gdynia, województwo pomorskie, 81-862, Polska",54.4633744,18.550913
3615,"Gdańsk Brzeźno, Łozy",517000,13256,39.0,3,10,PLN,Gdańsk,Brzeźno,"Łozy, Brzeźno, Gdańsk, województwo pomorskie, 80-516, Polska",54.4034316,18.6371331
3616,"Gdańsk Jasień, Rycerza Blizbora",759000,5794,131.0,3,5,PLN,Gdańsk,Jasień,"Rycerza Blizbora, Os. Gardenia, Jasień, Gdańsk, województwo pomorskie, 80-125, Polska",54.3400353,18.563022
3617,"Gdynia Mały Kack, Kameralna",1020000,17000,60.0,3,3,PLN,Gdynia,Mały Kack,"Kameralna, Mały Kack, Gdynia, województwo pomorskie, 81-549, Polska",54.4701816,18.51887
3618,"Gdańsk Osowa, Homera",610000,10000,61.0,2,4,PLN,Gdańsk,Osowa,"Homera, Owczarnia, Osowa, Gdańsk, województwo pomorskie, 81-598, Polska",54.4187891,18.4844695
3619,"Gdynia Wzgórze św. Maksymiliana, Mikołaja Reja",649000,10302,63.0,2,2,PLN,Gdynia,,"Mikołaja Reja, Wzgórze Świętego Maksymiliana, Gdynia, województwo pomorskie, 81-441, Polska",54.5046199,18.5417322
3620,"Gdańsk Przymorze, Rzeczypospolitej",415000,10921,38.0,2,0,PLN,Gdańsk,Przymorze,"Aleja Rzeczypospolitej, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-362, Polska",54.4034704,18.5910556
3621,"Gdańsk Siedlce, Kartuska",419999,12000,35.0,5,1,PLN,Gdańsk,Siedlce,"Kartuska, Kolonia Spójnia, Siedlce, Gdańsk, województwo pomorskie, 80-103, Polska",54.3511063,18.6352725
3622,"Gdańsk Osowa, Diany",480000,11707,41.0,2,1,PLN,Gdańsk,Osowa,"Diany, Wysoka, Osowa, Gdańsk, województwo pomorskie, 80-299, Polska",54.4232879,18.4739086
3623,"Gdańsk Jasień, Rycerza Blizbora",818900,7799,105.0,3,0,PLN,Gdańsk,Jasień,"Rycerza Blizbora, Os. Gardenia, Jasień, Gdańsk, województwo pomorskie, 80-125, Polska",54.3400353,18.563022
3624,"Gdańsk Zaspa, Bolesława Chrobrego",899000,17980,50.0,2,0,PLN,Gdańsk,Zaspa,,,
3625,"Gdańsk Wrzeszcz, Jana Kilińskiego",620000,11923,52.0,3,4,PLN,Gdańsk,Wrzeszcz,"Jana Kilińskiego, Kuźniczki, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-452, Polska",54.3838085,18.6062972
3626,"Gdańsk Osowa, Diany",569000,12106,47.0,2,3,PLN,Gdańsk,Osowa,"Diany, Wysoka, Osowa, Gdańsk, województwo pomorskie, 80-299, Polska",54.4232879,18.4739086
3627,"Gdańsk Osowa, Hermesa",689000,10439,66.0,3,3,PLN,Gdańsk,Osowa,"Hermesa, Wysoka, Osowa, Gdańsk, województwo pomorskie, 81-598, Polska",54.422758,18.4799824
3628,"Gdańsk Suchanino, Karola Kurpińskiego",449000,10690,42.0,3,0,PLN,Gdańsk,Suchanino,"Karola Kurpińskiego, Trzy Lipy, Suchanino, Gdańsk, województwo pomorskie, 80-169, Polska",54.3520987,18.6015351
3629,"Gdańsk Ujeścisko, Piotrkowska",669000,10967,61.0,3,7,PLN,Gdańsk,Ujeścisko,"Piotrkowska, Ujeścisko, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-158, Polska",54.32899,18.5835346
3630,"Gdańsk Zaspa, Powstańców Wielkopolskich",1180000,18137,65.06,2,6,PLN,Gdańsk,Zaspa,"Powstańców Wielkopolskich, Królewski Dwór, Zaspa-Rozstaje, Gdańsk, województwo pomorskie, 80-457, Polska",54.3985696,18.6161776
3631,"Gdańsk Oliwa, Józefa Czyżewskiego",565000,10463,54.0,3,2,PLN,Gdańsk,Oliwa,"Józefa Czyżewskiego, Gospódka, Oliwa, Gdańsk, województwo pomorskie, 81-856, Polska",54.4233923,18.5640508
3632,"Gdańsk Śródmieście, Szeroka",819900,19998,41.0,1,9,PLN,Gdańsk,Śródmieście,"Szeroka, Stare Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-846, Polska",54.3521336,18.6493113
3633,"Gdańsk Ujeścisko, Nieborowska",495000,9784,50.59,2,1,PLN,Gdańsk,Ujeścisko,,,
3634,"Gdańsk Przymorze, Obrońców Wybrzeża",359000,11967,30.0,2,0,PLN,Gdańsk,Przymorze,"Obrońców Wybrzeża, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-375, Polska",54.4087838,18.5891854
3635,"Gdańsk Stare Przedmieście, Toruńska",860000,19111,45.0,2,0,PLN,Gdańsk,Stare Przedmieście,"Toruńska, Stare Przedmieście, Śródmieście, Gdańsk, województwo pomorskie, 80-819, Polska",54.345155,18.6458535
3636,"Gdańsk Orunia, Żuławska",469000,10598,44.25,3,0,PLN,Gdańsk,Orunia,"Żuławska, Orunia, Orunia - Święty Wojciech - Lipce, Gdańsk, województwo pomorskie, 80-062, Polska",54.3228794,18.6375796
3637,"Gdańsk Morena, Zofii Nałkowskiej",489000,11643,42.0,2,3,PLN,Gdańsk,Morena,,,
3638,"Gdańsk Łostowice, Niepołomicka",649000,9687,67.0,3,5,PLN,Gdańsk,Łostowice,"Niepołomicka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3143954,18.5946641
3639,"Gdańsk Chełm, Tytusa Chałubińskiego",409000,11686,35.0,2,5,PLN,Gdańsk,Chełm,"Tytusa Chałubińskiego, Chełm A-1, Chełm, Gdańsk, województwo pomorskie, 80-876, Polska",54.3403608,18.6186983
3640,"Gdańsk Karczemki, Różany Stok",498999,7561,66.0,2,3,PLN,Gdańsk,Karczemki,"Różany Stok, Karczemki, Kokoszki, Gdańsk, województwo pomorskie, 80-190, Polska",54.3556006,18.5121689
3641,"Gdańsk Wrzeszcz, Jesionowa",619454,11913,52.0,3,9,PLN,Gdańsk,Wrzeszcz,"Jesionowa, Strzyża Dolna, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-261, Polska",54.3805962,18.5997693
3642,"Gdańsk Siedlce, Seweryna Goszczyńskiego",529000,10173,52.0,4,0,PLN,Gdańsk,Siedlce,"Seweryna Goszczyńskiego, Południowy Stok, Siedlce, Gdańsk, województwo pomorskie, 80-134, Polska",54.3521653,18.61442
3643,"Gdańsk Długie Ogrody, Szafarnia",2300000,27381,84.0,4,1,PLN,Gdańsk,Długie ogrody,"Szafarnia, Wyspa Spichrzów, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3494168,18.6602316
3644,"Gdańsk Niedźwiednik, Leśna Góra",571000,9210,62.0,4,2,PLN,Gdańsk,Niedźwiednik,"Leśna Góra, Niedźwiednik, Brętowo, Gdańsk, województwo pomorskie, 80-292, Polska",54.3737649,18.5643553
3645,"Gdańsk Zaspa, Żwirki I Wigury",780000,12580,62.0,3,0,PLN,Gdańsk,Zaspa,"Żwirki i Wigury, Zaspa-Rozstaje, Gdańsk, województwo pomorskie, 80-463, Polska",54.392617,18.6054708
3646,"Gdańsk Chełm, Wincentego Witosa",798000,9626,82.9,4,5,PLN,Gdańsk,Chełm,"Wincentego Witosa, Chełm G, Chełm, Gdańsk, województwo pomorskie, 80-119, Polska",54.3384804,18.6059547
3647,"Sopot Kamienny Potok, Tatrzańska",579000,12478,46.4,2,8,PLN,Sopot,Kamienny Potok,"Tatrzańska, Kamienny Potok, Sopot, województwo pomorskie, 81-814, Polska",54.4550588,18.5516535
3648,"Gdynia Pogórze, Barcelońska",895000,10654,84.0,3,2,PLN,Gdynia,Pogórze,,,
3649,"Gdynia Wzgórze św. Maksymiliana, Batalionów Chłopskich",420000,12352,34.0,1,0,PLN,Gdynia,,"Batalionów Chłopskich, Redłowo, Wzgórze Świętego Maksymiliana, Gdynia, województwo pomorskie, 81-471, Polska",54.4979242,18.5426845
3650,"Gdańsk Letnica, Letnicka",950000,13899,68.35,3,3,PLN,Gdańsk,Letnica,"Letnicka, Kolonia Gwiazda Morza, Letnica, Gdańsk, województwo pomorskie, 80-536, Polska",54.3986679,18.646464
3651,"Gdańsk Oliwa, Pawła Gdańca 6",480000,15483,31.0,2,3,PLN,Gdańsk,Oliwa,"6A, Pawła Gdańca, Pachołek, Oliwa, Gdańsk, województwo pomorskie, 80-331, Polska",54.4136101,18.555874
3652,"Gdańsk Suchanino, Ignacego Paderewskiego",649000,11564,56.12,6,4,PLN,Gdańsk,Suchanino,"Ignacego Paderewskiego, Suchanino, Gdańsk, województwo pomorskie, 80-137, Polska",54.3526634,18.6090133
3653,"Gdynia Wiczlino, Władysława Wagnera",589000,13478,43.7,2,0,PLN,Gdynia,Wiczlino,"Władysława Wagnera, Sokółka, Chwarzno-Wiczlino, Gdynia, województwo pomorskie, 81-603, Polska",54.5017614,18.4273379
3654,"Gdańsk Wrzeszcz, Gen. De Gaulle'a",919000,9162,100.3,2,2,PLN,Gdańsk,Wrzeszcz,,,
3655,"Sopot Dolny Sopot, Grunwaldzka",1199000,20050,59.8,2,1,PLN,Sopot,Dolny Sopot,"Grunwaldzka, Sopot Dolny, Sopot, województwo pomorskie, 81-758, Polska",54.4425272,18.5708782
3656,"Gdańsk Dolne Miasto, Łąkowa",978375,12500,78.27,3,5,PLN,Gdańsk,Dolne miasto,"Łąkowa, Dolne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-769, Polska",54.342615,18.6621761
3657,Gdynia Śródmieście,813000,13981,58.15,2,0,PLN,Gdynia,Śródmieście,"Śródmieście, Gdynia, województwo pomorskie, Polska",54.5197073,18.5391734
3658,Gdańsk Jasień,779000,7948,98.0,3,1,PLN,Gdańsk,Jasień,"Gdańsk Jasień, Generała Władysława Andersa, Jasień, Gdańsk, województwo pomorskie, 80-283, Polska",54.3536518,18.5500839
3659,"Gdynia Witomino, Polskiego Czerwonego Krzyża",395000,10676,37.0,2,1,PLN,Gdynia,Witomino,"Polskiego Czerwonego Krzyża, Witomino-Radiostacja, Witomino, Gdynia, województwo pomorskie, 81-651, Polska",54.4983852,18.5142701
3660,"Gdynia Cisowa, Janowska",455000,7685,59.2,2,5,PLN,Gdynia,Cisowa,"Janowska, Cisowa, Gdynia, województwo pomorskie, 81-020, Polska",54.5492188,18.4445379
3661,"Gdańsk Aniołki, Śniadeckich",750000,12500,60.0,4,1,PLN,Gdańsk,Aniołki,"Śniadeckich, Kolonia Przybyszewskiego, Aniołki, Gdańsk, województwo pomorskie, 80-204, Polska",54.3644862,18.6318543
3662,"Gdańsk Długie Ogrody, Angielska Grobla",861000,21000,41.0,2,2,PLN,Gdańsk,Długie ogrody,"Angielska Grobla, Ołowianka, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3505768,18.6615653
3663,"Gdańsk Długie Ogrody, Angielska Grobla",2300000,19167,120.0,3,1,PLN,Gdańsk,Długie ogrody,"Angielska Grobla, Ołowianka, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3505768,18.6615653
3664,"Gdańsk Śródmieście, Panieńska",850000,17000,50.0,3,2,PLN,Gdańsk,Śródmieście,"Panieńska, Osiek, Śródmieście, Gdańsk, województwo pomorskie, 80-842, Polska",54.3553324,18.6551398
3665,"Gdynia Oksywie, Stefana Czarnieckiego",780000,11747,66.4,3,3,PLN,Gdynia,Oksywie,"Stefana Czarnieckiego, Kępa Oksywska, Oksywie, Gdynia, województwo pomorskie, 81-131, Polska",54.5527074,18.541795
3666,"Gdynia Cisowa, Janowska",545000,9083,60.0,2,8,PLN,Gdynia,Cisowa,"Janowska, Cisowa, Gdynia, województwo pomorskie, 81-020, Polska",54.5492188,18.4445379
3667,"Gdańsk Siedlce, Powstańców Warszawskich",1099000,17916,61.34,2,1,PLN,Gdańsk,Siedlce,"Powstańców Warszawskich, Kolonia Spójnia, Siedlce, Gdańsk, województwo pomorskie, 80-151, Polska",54.3532463,18.6341863
3668,"Gdynia Dąbrowa, Oliwkowa",539000,10365,52.0,4,0,PLN,Gdynia,Dąbrowa,"Oliwkowa, Dąbrówka, Dąbrowa, Gdynia, województwo pomorskie, 81-589, Polska",54.4717265,18.4719171
3669,"Gdańsk Kokoszki, Fundamentowa",349000,8227,42.42,2,3,PLN,Gdańsk,Kokoszki,"Fundamentowa, Kokoszki, Gdańsk, województwo pomorskie, 80-178, Polska",54.3543481,18.4942662
3670,"Sopot Górny Sopot, Gen. Józefa Wybickiego",2350000,21190,110.9,3,5,PLN,Sopot,Górny Sopot,,,
3671,"Gdynia Oksywie/Obłuże, Nasypowa",406000,10928,37.15,2,17,PLN,Gdynia,Oksywie,"Nasypowa (NŻ), Inżyniera Jana Śmidowicza, Kępa Oksywska, Oksywie, Gdynia, województwo pomorskie, 81-127, Polska",54.545692450000004,18.522105049999993
3672,"Gdańsk Kiełpinek, Szczęśliwa 40c",630000,11209,56.2,5,1,PLN,Gdańsk,Kiełpinek,"40C, Szczęśliwa, Kiełpinek, Jasień, Gdańsk, województwo pomorskie, 80-176, Polska",54.35432915,18.526139757269405
3673,"Gdańsk Oliwa, Wita Stwosza",499000,14676,34.0,2,1,PLN,Gdańsk,Oliwa,"Wita Stwosza, Dwór VIII, Oliwa, Gdańsk, województwo pomorskie, 80-308, Polska",54.3987057,18.5688676
3674,Gdynia Oksywie,1020000,11086,92.0,3,2,PLN,Gdynia,Oksywie,"Gdynia/Oksywie, Australijska, Osiedle Gdyńskie, Oksywie, Gdynia, województwo pomorskie, 81-114, Polska",54.5458913,18.5362053
3675,"Gdynia Grabówek, Kapitańska",565000,11770,48.0,3,4,PLN,Gdynia,Grabówek,"Kapitańska, Grabówek, Gdynia, województwo pomorskie, 81-265, Polska",54.525062,18.5083239
3676,"Gdańsk Morena, Powstania Styczniowego",549000,8445,65.01,3,2,PLN,Gdańsk,Morena,,,
