Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk Chełm, Stanisława Hebanowskiego",669 000 zł,10388 zł/m2,64.4,3,parter
"Gdańsk Oliwa, Aleksandra Majkowskiego",1 360 000 zł,13465 zł/m2,101,3,5
"Gdynia Oksywie, Płk. Stanisława Dąbka",449 000 zł,9883 zł/m2,45.43,2,2
"Gdańsk Jasień, Kazimierza Leskiego",569 000 zł,9118 zł/m2,62.4,4,1
"Gdańsk Długie Ogrody, Długa Grobla",1 020 000 zł,16451 zł/m2,62,4,4
"Sopot Brodwino, Oskara Kolberga",499 000 zł,12170 zł/m2,41,2,parter
"Sopot Dolny Sopot, Podjazd",1 310 000 zł,13995 zł/m2,93.6,2,3
"Sopot Dolny Sopot, Jana Jerzego Haffnera",1 500 000 zł,39062 zł/m2,38.4,5,6
"Sopot Wyścigi / Karlikowo, Bitwy Pod Płowcami",724 000 zł,15877 zł/m2,45.6,1,1
"Gdańsk Stare Przedmieście, Chmielna",923 500 zł,19993 zł/m2,46.19,3,2
"Sopot Dolny Sopot, Morska",2 390 000 zł,21806 zł/m2,109.6,4,parter
"Sopot Dolny Sopot, Grunwaldzka",1 025 000 zł,26909 zł/m2,38.09,3,parter
"Gdańsk Długie Ogrody, Sienna Grobla",899 000 zł,16648 zł/m2,54,6,17
"Gdańsk Wrzeszcz, Kliniczna",980 000 zł,11658 zł/m2,84.06,1,parter
"Gdańsk Morena, Morenowe Wzgórze",849 000 zł,12340 zł/m2,68.8,2,parter
Sopot Górny Sopot,2 900 000 zł,13026 zł/m2,222.64,1,2
"Gdańsk Śródmieście, Chmielna",775 000 zł,33872 zł/m2,22.88,1,4
"Gdynia Dąbrowa, Gorczycowa",287 000 zł,12478 zł/m2,23,3,parter
"Gdańsk Młode Miasto, Wałowa",699 000 zł,24321 zł/m2,28.74,2,1
"Sopot Brodwino, Kolberga Oskara",419 900 zł,13996 zł/m2,30,2,4
"Sopot Dolny Sopot, Skłodowskiej -Curie Marii",1 722 875 zł,17500 zł/m2,98.45,3,3
"Sopot Kamienny Potok, Henryka Sienkiewicza",495 000 zł,11785 zł/m2,42,3,3
"Gdańsk Orunia, Stefana Ramułta",644 199 zł,9997 zł/m2,64.44,1,3
"Sopot Wyścigi / Karlikowo, 3 Maja",1 199 000 zł,15571 zł/m2,77,4,4
Gdańsk Morena,790 000 zł,14469 zł/m2,54.6,2,1
Gdańsk Morena-Ujescisko,440 000 zł,14360 zł/m2,30.64,4,8
"Gdynia Dąbrowa, Sojowa",890 000 zł,11280 zł/m2,78.9,2,4
"Gdańsk Osowa, Marsa",530 000 zł,11288 zł/m2,46.95,2,11
"Gdańsk Łostowice, Niepołomicka",595 000 zł,10237 zł/m2,58.12,3,2
"Gdańsk Łostowice, Ofiar Grudnia 70",350 000 zł,8974 zł/m2,39,4,3
"Gdańsk Wrzeszcz, Sochaczewska",549 000 zł,11631 zł/m2,47.2,3,1
"Gdynia Śródmieście, Starowiejska",787 500 zł,12500 zł/m2,63,3,1
"Gdańsk Ujeścisko, Rogalińska",1 180 000 zł,10261 zł/m2,115,2,1
"Gdynia Oksywie, Płk. Stanisława Dąbka",440 000 zł,7333 zł/m2,60,3,1
"Gdańsk Orunia, Diamentowa",460 000 zł,10222 zł/m2,45,3,2
"Gdańsk Stogi, Hoża",389 000 zł,9131 zł/m2,42.6,2,parter
"Gdańsk Ujeścisko, Częstochowska",635 000 zł,10409 zł/m2,61,3,1
Sopot Górny Sopot,769 000 zł,16362 zł/m2,47,4,1
"Gdańsk Przymorze, Malborska",485 000 zł,11279 zł/m2,43,2,3
"Gdańsk Zaspa, Leszczyńskich",829 000 zł,12014 zł/m2,69,4,3
"Gdańsk Oliwa, Poczty Gdańskiej",1 420 000 zł,13524 zł/m2,105,2,2
"Gdańsk Przymorze, Kołobrzeska",550 000 zł,12790 zł/m2,43,2,parter
"Gdańsk Chełm, Witolda Grabowskiego",680 000 zł,9214 zł/m2,73.8,4,2
"Gdańsk Ujeścisko-Łostowice, Guderskiego",410 000 zł,8916 zł/m2,45.98,3,2
Gdańsk Kowale,389 000 zł,9725 zł/m2,40,2,1
"Gdynia Śródmieście, Władysława Iv 1-5",670 000 zł,10196 zł/m2,65.71,3,2
"Gdańsk Wrzeszcz, Wajdeloty",536 000 zł,11974 zł/m2,44.76,3,3
"Sopot Kamienny Potok, Sienkiewicza",495 000 zł,11811 zł/m2,41.91,2,4
"Gdynia Chylonia, Swarzewska",510 000 zł,8500 zł/m2,60,2,10
"Gdańsk Łostowice, Złota",699 000 zł,10591 zł/m2,66,2,3
"Gdańsk Przymorze, Mściwoja Ii",850 000 zł,18085 zł/m2,47,1,3
"Gdańsk Łostowice, Hokejowa",360 000 zł,10909 zł/m2,33,3,2
"Gdańsk Śródmieście, Szeroka",820 000 zł,20000 zł/m2,41,3,2
"Gdańsk Matarnia - Rębiechowo, Podchorążych",279 000 zł,8637 zł/m2,32.3,2,2
"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",699 000 zł,12944 zł/m2,54,2,1
"Gdańsk Jasień, Pólnicy",579 000 zł,9309 zł/m2,62.2,3,1
"Gdańsk Żabianka, Pomorska",450 000 zł,12195 zł/m2,36.9,3,parter
"Gdańsk Długie Ogrody, Sienna Grobla",881 100 zł,18000 zł/m2,48.95,1,2
"Gdańsk Orunia, Związkowa",375 000 zł,10135 zł/m2,37,3,parter
"Gdynia Leszczynki, Morska",495 000 zł,8945 zł/m2,55.34,2,1
"Gdańsk Śródmieście, Chmielna",629 900 zł,27958 zł/m2,22.53,2,1
"Gdańsk Morena, Bulońska",635 000 zł,9922 zł/m2,64,3,6
"Gdynia Działki Leśne, Śląska",545 000 zł,12219 zł/m2,44.6,4,1
Gdańsk Śródmieście,820 000 zł,20034 zł/m2,40.93,2,7
"Gdańsk Dolne Miasto, Przyokopowa",499 000 zł,8338 zł/m2,59.85,2,3
"Sopot Dolny Sopot, Jana Sobieskiego",2 340 000 zł,18028 zł/m2,129.8,2,4
"Sopot Górny Sopot, Krótka",820 000 zł,15501 zł/m2,52.9,2,parter
"Gdynia Pogórze, Kontr Admirała St. Mieszkowskiego",385 000 zł,7857 zł/m2,49,2,3
"Gdynia Karwiny, Kazimierza Kruczkowskiego",430 000 zł,9033 zł/m2,47.6,3,3
"Gdańsk Wrzeszcz, Antoniego Słonimskiego",899 000 zł,18052 zł/m2,49.8,4,parter
"Gdynia Kamienna Góra, Żołnierzy I Armii Wojska Polskiego",899 000 zł,26340 zł/m2,34.13,4,7
"Sopot Wyścigi / Karlikowo, 3 Maja",1 199 000 zł,15571 zł/m2,77,2,3
"Gdańsk, Trakt Świętego Wojciecha",800 000 zł,10437 zł/m2,76.65,2,parter
"Gdynia Chwarzno Wiczlino, Filipkowskiego",760 000 zł,9216 zł/m2,82.46,2,2
"Gdynia Działki Leśne, Morska",489 000 zł,9651 zł/m2,50.67,2,6
"Gdynia Wzgórze św. Maksymiliana, Tomasza Nocznickiego",1 099 000 zł,10103 zł/m2,108.78,2,4
"Gdynia Chylonia, Chylońska",419 000 zł,10939 zł/m2,38.3,2,5
"Gdańsk Maćkowy, Kazimierza Wielkiego",365 000 zł,9168 zł/m2,39.81,2,4
"Gdańsk Chełm, Zamiejska",549 000 zł,8645 zł/m2,63.5,1,5
"Gdańsk Dolne Miasto, Przyokopowa",795 000 zł,20921 zł/m2,38,1,1
"Gdańsk Śródmieście, Tandeta",1 204 800 zł,24000 zł/m2,50.2,4,3
"Gdańsk Śródmieście, Tandeta",932 500 zł,25000 zł/m2,37.3,5,1
"Gdynia Gdynia, Batalionów Chłopskich",134 000 zł,4038 zł/m2,33.18,2,2
"Gdańsk Piecki Migowo, Magellana",885 500 zł,13623 zł/m2,65,2,2
"Gdańsk Niedźwiednik, Góralska",899 000 zł,8562 zł/m2,105,1,2
"Gdańsk Kowale, Ateny",455 000 zł,10987 zł/m2,41.41,3,3
"Gdynia Wielki Kack, Witosławy",419 000 zł,9588 zł/m2,43.7,4,parter
"Gdańsk Wrzeszcz, Grunwaldzka",480 000 zł,11851 zł/m2,40.5,2,3
"Gdańsk Żabianka, Bitwy Oliwskiej",580 000 zł,10301 zł/m2,56.3,3,3
"Gdańsk Dolne Miasto, Kamienna Grobla",1 800 000 zł,20718 zł/m2,86.88,3,3
"Gdańsk Brzeźno, Łozy",499 000 zł,11340 zł/m2,44,4,2
"Gdańsk Długie Ogrody, Łąkowa",1 990 000 zł,22614 zł/m2,88,2,parter
"Gdynia Oksywie, Płk. Stanisława Dąbka",589 000 zł,8919 zł/m2,66.04,4,parter
"Gdynia Wielki Kack, Damroki",749 000 zł,10934 zł/m2,68.5,3,3
"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",720 000 zł,16666 zł/m2,43.2,2,1
"Gdynia Wiczlino, Jana Kamrowskiego",850 000 zł,9670 zł/m2,87.9,3,parter
"Gdynia Cisowa, Chylońska",668 250 zł,11000 zł/m2,60.75,2,1
"Sopot Dolny Sopot, Tadeusza Kościuszki",1 232 000 zł,35000 zł/m2,35.2,3,2
"Gdańsk Chełm, Lubomira Szopińskiego",620 000 zł,9857 zł/m2,62.9,4,2
"Gdynia Witomino, Konwaliowa",439 000 zł,12436 zł/m2,35.3,4,6
"Gdańsk Zakoniczyn, Konrada Guderskiego",584 900 zł,8476 zł/m2,69,2,parter
"Gdańsk Niedźwiednik, Góralska",899 000 zł,11675 zł/m2,77,2,3
"Gdynia Wiczlino, Tęczowa",699 000 zł,9383 zł/m2,74.5,2,parter
"Sopot Dolny Sopot, Tadeusza Kościuszki",1 232 000 zł,35000 zł/m2,35.2,2,parter
"Gdańsk Orunia, Związkowa",349 000 zł,8065 zł/m2,43.27,3,3
"Gdańsk Łostowice, Niepołomicka",440 000 zł,12941 zł/m2,34,2,parter
"Gdynia Dąbrowa, Lubczykowa",289 998 zł,5799 zł/m2,50,3,1
"Gdynia Wzgórze św. Maksymiliana, Dąbrowskiego",778 000 zł,11816 zł/m2,65.84,4,2
"Gdynia Orłowo, Zwycięstwa",699 000 zł,17157 zł/m2,40.74,2,1
"Gdynia Cisowa, Janowska",598 000 zł,9522 zł/m2,62.8,3,7
"Gdańsk Ujeścisko, Łódzka",669 000 zł,9489 zł/m2,70.5,3,parter
"Sopot Dolny Sopot, Tadeusza Kościuszki",1 232 000 zł,35000 zł/m2,35.2,3,5
"Gdańsk Oliwa, Grunwaldzka",580 000 zł,10545 zł/m2,55,3,1
"Gdynia Orłowo, Bernadowska",1 949 000 zł,29783 zł/m2,65.44,2,1
"Gdańsk Jasień, Potęgowska",650 000 zł,9701 zł/m2,67,5,2
Gdańsk Chełm,669 000 zł,10790 zł/m2,62,2,2
"Gdańsk Łostowice, Kielasa 3",450 000 zł,8982 zł/m2,50.1,3,4
"Gdańsk Morena, Morenowe Wzgórze",1 149 000 zł,11944 zł/m2,96.2,1,2
"Gdańsk Orunia, Związkowa",349 000 zł,8065 zł/m2,43.27,1,2
"Gdańsk Długie Ogrody, Św. Barbary",1 299 000 zł,18041 zł/m2,72,2,12
"Gdańsk Łostowice, Hokejowa",349 000 zł,13937 zł/m2,25.04,2,3
"Gdańsk Strzyża, Bernarda Chrzanowskiego",379 000 zł,14037 zł/m2,27,1,1
"Gdańsk Zaspa, Jana Pawła Ii",899 000 zł,17908 zł/m2,50.2,3,3
"Gdynia Wiczlino, Jana Kamrowskiego",530 000 zł,10392 zł/m2,51,3,1
"Gdynia Redłowo, Boh. Starówki Warszawskiej",290 000 zł,12609 zł/m2,23,3,5
"Gdańsk Ujeścisko, Piotrkowska",744 000 zł,11921 zł/m2,62.41,2,parter
"Gdańsk Siedlce, Tarasy",499 000 zł,7949 zł/m2,62.77,1,2
"Gdańsk Młode Miasto, Robotnicza",749 000 zł,11263 zł/m2,66.5,3,3
"Sopot Dolny Sopot, Tadeusza Kościuszki",1 232 000 zł,35000 zł/m2,35.2,1,12
"Gdynia Witomino, 2 MPS",355 000 zł,11093 zł/m2,32,3,8
"Gdynia Działki Leśne, Warszawska 70",600 000 zł,10023 zł/m2,59.86,1,2
"Gdańsk Łostowice, Hokejowa",338 000 zł,13520 zł/m2,25,3,1
"Gdynia Wzgórze św. Maksymiliana, Kazimierza Górskiego",994 000 zł,13098 zł/m2,75.89,3,3
"Gdańsk Długie Ogrody, Głęboka",359 000 zł,15211 zł/m2,23.6,3,parter
"Gdynia Chylonia, Gniewska",515 000 zł,9537 zł/m2,54,2,1
"Gdańsk Orunia, Związkowa",359 000 zł,9702 zł/m2,37,2,1
"Gdańsk Wrzeszcz, Gen. De Gaulle'a",690 000 zł,9583 zł/m2,72,5,parter
"Gdańsk Wrzeszcz, Mariana Hemara",840 000 zł,21000 zł/m2,40,3,3
"Gdańsk Ujeścisko, Nieborowska",609 500 zł,11500 zł/m2,53,3,2
"Gdańsk Wrzeszcz, Juliusza Kossaka",1 900 000 zł,10590 zł/m2,179.4,3,3
"Gdynia Cisowa, Janowska",489 000 zł,8150 zł/m2,60,3,parter
"Gdynia Wzgórze św. Maksymiliana, Kazimierza Górskiego",984 000 zł,12966 zł/m2,75.89,3,7
"Gdańsk Przymorze, Kołobrzeska",490 000 zł,9245 zł/m2,53,3,2
"Gdańsk Oliwa, Podhalańska",1 180 000 zł,15128 zł/m2,78,2,4
"Gdańsk Wrzeszcz, Tadeusza Kościuszki",599 000 zł,10152 zł/m2,59,3,2
"Gdańsk Brzeźno, Ignacego Krasickiego",1 700 000 zł,25373 zł/m2,67,3,1
"Gdańsk Brzeźno, Gen. Józefa Hallera",1 500 000 zł,30556 zł/m2,49.09,2,4
"Gdańsk Strzyża, Fryderyka Chopina",749 000 zł,13870 zł/m2,54,2,parter
"Gdańsk Orunia Górna, Biskupa Dominika",649 000 zł,10301 zł/m2,63,3,3
"Gdańsk Jasień, Wiszące Ogrody",669 000 zł,13117 zł/m2,51,3,parter
Gdynia Mały Kack,630 000 zł,12857 zł/m2,49,2,3
"Gdańsk Chełm, Lubomira Szopińskiego",645 000 zł,10254 zł/m2,62.9,1,7
"Gdańsk Wrzeszcz, Jesionowa 1",1 099 000 zł,13177 zł/m2,83.4,3,2
"Gdańsk Stogi, Tamka",420 000 zł,9767 zł/m2,43,2,4
"Gdańsk Przymorze, Obrońców Wybrzeża",360 000 zł,12000 zł/m2,30,4,parter
"Gdynia Działki Leśne, Śląska",589 000 zł,8661 zł/m2,68,3,3
"Gdański Pruszcz Gdański, Jarosława Dąbrowskiego",435 000 zł,8700 zł/m2,50,2,2
"Gdańsk Piecki-migowo, Myśliwska",1 149 000 zł,9495 zł/m2,121,2,parter
"Gdynia Wzgórze św. Maksymiliana, Gen. Jarosława Dąbrowskiego",778 000 zł,11816 zł/m2,65.84,2,1
"Gdańsk Żabianka, Jakuba Wejhera",569 990 zł,11875 zł/m2,48,1,1
"Gdynia Witomino, Konwaliowa",439 000 zł,12436 zł/m2,35.3,2,1
Gdynia Chylonia,339 000 zł,8470 zł/m2,40.02,3,4
"Gdynia Śródmieście, Obrońców Wybrzeża",497 000 zł,13432 zł/m2,37,4,parter
Gdynia Karwiny,439 000 zł,8607 zł/m2,51,2,1
"Gdańsk Przymorze, Szczecińska",970 000 zł,17963 zł/m2,54,4,4
"Gdańsk Oliwa, Obrońców Westerplatte",1 599 999 zł,17131 zł/m2,93.4,3,2
"Gdańsk Łostowice, Hokejowa",369 000 zł,9919 zł/m2,37.2,2,5
"Gdańsk Zakoniczyn, Aleksandra Dulin'a",524 000 zł,8000 zł/m2,65.5,4,2
"Gdańsk Długie Ogrody, Św. Barbary",1 026 305 zł,17750 zł/m2,57.82,2,4
"Gdańsk Łostowice, Niepołomicka",334 900 zł,9850 zł/m2,34,2,2
"Gdańsk Łostowice, Wielkopolska",550 000 zł,8088 zł/m2,68,4,1
"Gdańsk Przymorze, Czarny Dwór",998 000 zł,19526 zł/m2,51.11,2,2
Gdańsk Łostowice,475 000 zł,8489 zł/m2,55.95,2,3
"Gdańsk Oliwa, Tatrzańska",1 545 000 zł,15928 zł/m2,97,4,1
"Gdańsk Orunia Górna, Kurierów Armii Krajowej",430 000 zł,10238 zł/m2,42,3,parter
"Gdańsk Łostowice, Niepołomicka",448 000 zł,12800 zł/m2,35,3,1
Gdańsk Wrzeszcz,570 000 zł,10000 zł/m2,57,3,2
"Gdańsk Morena, Burgaska",519 900 zł,8481 zł/m2,61.3,3,3
"Gdańsk Śródmieście, Rajska",1 250 000 zł,21551 zł/m2,58,3,2
"Gdynia Chylonia, Rozewska",380 000 zł,8189 zł/m2,46.4,3,7
"Gdańsk Brzeźno, Dworska",595 000 zł,10968 zł/m2,54.25,4,3
"Gdynia Pogórze, Żeliwna",549 000 zł,9148 zł/m2,60.01,2,5
"Gdańsk Śródmieście, Św. Ducha",949 000 zł,14292 zł/m2,66.4,4,3
Gdańsk Morena,669 000 zł,9040 zł/m2,74,4,2
"Sopot Wyścigi / Karlikowo, 3 Maja",1 399 000 zł,21424 zł/m2,65.3,2,3
"Sopot Dolny Sopot, Bohaterów Monte Cassino",1 600 000 zł,13333 zł/m2,120,3,1
"Gdańsk Łostowice, Współczesna 10",660 000 zł,8800 zł/m2,75,4,2
"Gdynia Oksywie, Tucholska",399 000 zł,6361 zł/m2,62.73,3,4
"Sopot Dolny Sopot, Fryderyka Chopina",1 850 000 zł,32456 zł/m2,57,1,1
"Sopot Dolny Sopot, Jana Jerzego Haffnera",2 100 000 zł,18584 zł/m2,113,3,2
"Gdańsk Orunia, Związkowa",359 000 zł,9703 zł/m2,37,2,3
"Gdańsk Łostowice, Hokejowa",379 000 zł,15160 zł/m2,25,1,3
"Gdynia Cisowa, Kcyńska",389 000 zł,6946 zł/m2,56,2,parter
"Gdynia Chylonia, Morska",389 000 zł,9898 zł/m2,39.3,2,4
"Gdańsk Żabianka, Pomorska",399 000 zł,14778 zł/m2,27,3,1
"Gdańsk Suchanino, Franciszka Liszta",485 000 zł,11279 zł/m2,43,3,1
"Gdańsk Wrzeszcz, Grudziądzka",775 000 zł,18902 zł/m2,41,3,1
"Gdańsk Zakoniczyn, Jerzego Świrskiego",609 900 zł,10165 zł/m2,60,2,4
"Gdańsk Wrzeszcz, Partyzantów",669 000 zł,11743 zł/m2,56.97,3,3
"Gdańsk Śródmieście, Św. Ducha",949 000 zł,14292 zł/m2,66.4,3,4
"Gdańsk Orunia, Szafirowa",316 000 zł,7900 zł/m2,40,2,5
"Gdynia Pogórze, Komandora Jerzego Staniewicza",435 000 zł,6916 zł/m2,62.9,2,9
Gdynia Karwiny,510 000 zł,8400 zł/m2,60.71,2,2
Gdańsk Łostowice,445 000 zł,10761 zł/m2,41.35,3,2
"Gdańsk Przymorze, Piastowska 106",599 000 zł,13930 zł/m2,43,3,parter
"Gdańsk Orunia Górna, Sosnkowskiego",525 000 zł,11666 zł/m2,45,3,1
"Gdańsk Jasień, Lawendowe Wzgórze",560 000 zł,11313 zł/m2,49.5,2,4
"Gdańsk Śródmieście, Straganiarska",1 250 000 zł,13171 zł/m2,94.9,3,4
"Gdynia Oksywie, Stefana Czarnieckiego",780 000 zł,11746 zł/m2,66.4,2,4
Gdynia Chylonia,359 000 zł,7329 zł/m2,48.98,2,parter
"Gdynia Redłowo, Legionów 115",1 000 000 zł,12953 zł/m2,77.2,2,3
Gdańsk Kowale,440 000 zł,9462 zł/m2,46.5,2,2
"Gdańsk Śródmieście, Św. Ducha",740 000 zł,19474 zł/m2,38,2,1
"Gdańsk Wrzeszcz, Mariana Hemara",880 000 zł,22000 zł/m2,40,1,4
"Gdynia Redłowo, Bohaterów Starówki Warszawskiej",599 000 zł,11817 zł/m2,50.69,4,2
"Gdynia Redłowo, Powstania Styczniowego",799 000 zł,20320 zł/m2,39.32,1,1
"Gdynia Orłowo, Wielkopolska",330 000 zł,12643 zł/m2,26.1,2,7
"Gdańsk Przymorze, Jagiellońska",715 000 zł,11000 zł/m2,65,3,2
"Gdynia Orłowo, Wielkopolska",330 000 zł,12643 zł/m2,26.1,2,4
"Gdynia Śródmieście, Świętojańska",1 240 000 zł,30214 zł/m2,41.04,3,2
"Gdynia Kamienna Góra, Żołnierzy I Armii Wojska Polskiego",1 790 000 zł,29675 zł/m2,60.32,5,parter
"Gdynia Witomino, Widna",369 000 zł,8635 zł/m2,42.73,1,4
"Gdańsk Młyniska, Okrąg",470 000 zł,9566 zł/m2,49.13,3,3
"Gdynia Chwarzno, Czesława Niemena",1 699 000 zł,13813 zł/m2,123,2,1
"Gdańsk Wrzeszcz, Lwowska",420 000 zł,14000 zł/m2,30,3,3
"Gdańsk Jasień, Lawendowe Wzgórze",659 000 zł,11738 zł/m2,56.14,3,8
"Gdynia Śródmieście, Wójta Radtkego 31",813 000 zł,13981 zł/m2,58.15,1,6
"Gdańsk Orunia Górna, Gen. Kazimierza Sosnkowskiego",750 000 zł,11227 zł/m2,66.8,3,3
"Gdynia Chylonia, Gniewska",515 000 zł,9537 zł/m2,54,3,12
"Gdańsk Przymorze, Obrońców Wybrzeża",360 000 zł,12000 zł/m2,30,3,1
"Gdynia Karwiny, Buraczana",515 000 zł,8443 zł/m2,61,1,4
"Gdańsk Stogi, Jeremiasza Falck Polonusa",435 000 zł,8700 zł/m2,50,5,parter
"Gdańsk Siedlce, Kartuska",725 000 zł,12946 zł/m2,56,3,1
"Gdynia Wielki Kack, Gryfa Pomorskiego",370 000 zł,11562 zł/m2,32,2,1
"Gdańsk Jasień, Rycerza Blizbora",819 000 zł,7800 zł/m2,105,5,parter
"Gdynia Oksywie, Płk. Stanisława Dąbka",469 000 zł,8086 zł/m2,58,3,1
"Gdańsk Stogi, Hoża",385 000 zł,10694 zł/m2,36,2,3
"Gdańsk Morena, Magellana",1 350 000 zł,14361 zł/m2,94,2,1
"Gdynia Pogórze, Żelazna",779 000 zł,11557 zł/m2,67.4,3,1
"Gdańsk Przymorze, Obrońców Wybrzeża",375 000 zł,9868 zł/m2,38,5,5
"Gdańsk Jelitkowo, Jelitkowska",1 511 999 zł,36000 zł/m2,42,3,5
"Gdańsk Zaspa, Jana Pawła Ii",879 000 zł,16903 zł/m2,52,5,1
"Gdańsk Oliwa, Derdowskiego",1 490 000 zł,9933 zł/m2,150,2,3
"Gdańsk Wrzeszcz, Jaśkowa Dolina",1 421 000 zł,20300 zł/m2,70,1,3
"Gdańsk Śródmieście, Wałowa","1 198 633,20 zł",12896 zł/m2,92.94,2,3
"Gdańsk Długie Ogrody, Siennicka",419 000 zł,11026 zł/m2,38,1,parter
"Gdańsk Przymorze, Śląska",533 600 zł,16000 zł/m2,33.35,2,2
"Gdynia Witomino, Konwaliowa",439 000 zł,12436 zł/m2,35.3,3,4
"Gdańsk Przymorze, Śląska",498 720 zł,16000 zł/m2,31.17,3,1
"Gdynia Orłowo, Mestwina",890 000 zł,20027 zł/m2,44.44,4,3
"Gdynia Obłuże, Płk. Stanisława Dąbka",590 000 zł,8939 zł/m2,66,4,1
"Gdańsk Żabianka, Pomorska 16",619 000 zł,11033 zł/m2,56.1,2,1
"Gdańsk Długie Ogrody, Szafarnia",1 870 000 zł,17000 zł/m2,110,2,2
"Gdańsk Długie Ogrody, Szafarnia",2 030 000 zł,17500 zł/m2,116,2,1
"Gdynia Wzgórze św. Maksymiliana, Mikołaja Kopernika",555 000 zł,15000 zł/m2,37,3,1
"Gdańsk Przymorze, Śląska",525 000 zł,15611 zł/m2,33.63,2,parter
"Gdańsk Przymorze, Śląska",525 000 zł,15643 zł/m2,33.56,3,1
"Gdynia Leszczynki, Morska",495 000 zł,8945 zł/m2,55.34,1,5
"Gdynia Witomino, Konwaliowa 14",439 000 zł,12436 zł/m2,35.3,1,1
"Gdańsk Brzeźno, Dworska",595 000 zł,10818 zł/m2,55,2,2
"Gdańsk Śródmieście, Chmielna",629 900 zł,27530 zł/m2,22.88,4,2
"Gdańsk Jasień, Gen. Władysława Andersa",441 595 zł,15500 zł/m2,28.49,3,2
"Gdańsk Śródmieście, Szeroka",820 000 zł,20000 zł/m2,41,2,4
"Gdańsk Jasień, Lawendowe Wzgórze",820 000 zł,10379 zł/m2,79,3,2
"Gdynia Pogórze, Sucharskiego",529 000 zł,8816 zł/m2,60,3,4
"Gdynia Działki Leśne, Warszawska",799 000 zł,12033 zł/m2,66.4,6,4
"Gdynia Wiczlino, Gen. Mariusza Zaruskiego",760 000 zł,10526 zł/m2,72.2,3,parter
"Gdańsk Długie Ogrody, Św. Barbary",1 219 000 zł,17118 zł/m2,71.21,4,1
"Sopot Górny Sopot, Jana Kasprowicza",2 999 999 zł,14534 zł/m2,206.4,5,1
"Gdańsk Śródmieście, Rajska",2 200 000 zł,28205 zł/m2,78,3,3
"Gdańsk Siedlce, Kartuska",650 000 zł,12732 zł/m2,51.05,3,1
Gdańsk Śródmieście,1 587 766 zł,12985 zł/m2,122.27,1,parter
"Gdańsk Przymorze Wielkie, Aleja Prezydenta Lecha Kaczyńskiego",1 250 000 zł,21186 zł/m2,59,2,parter
"Gdynia Chwarzno, Czesława Niemena",1 490 000 zł,14537 zł/m2,102.5,3,1
"Gdańsk Wrzeszcz, Zygmunta Augusta",380 000 zł,12709 zł/m2,29.9,1,parter
"Gdańsk Brzeźno, Dworska",397 000 zł,15269 zł/m2,26,3,3
"Gdańsk Śródmieście, Podwale Staromiejskie",940 000 zł,14462 zł/m2,65,2,3
"Gdańsk Śródmieście, Chmielna",629 900 zł,27531 zł/m2,22.88,1,4
"Gdańsk Osowa, Koziorożca",775 000 zł,9961 zł/m2,77.8,3,parter
"Gdańsk Jasień, Tadeusza Jasińskiego",499 000 zł,11340 zł/m2,44,5,2
Gdańsk Karczemki,325 000 zł,10156 zł/m2,32,2,2
"Gdynia Orłowo, Króla Jana Iii",2 900 000 zł,34523 zł/m2,84,2,parter
"Gdańsk Ujeścisko, Ostrołęcka",920 000 zł,8761 zł/m2,105,3,9
"Gdynia Redłowo, Powstania Śląskiego",1 450 000 zł,20661 zł/m2,70.18,3,2
"Gdańsk Kiełpinek, Profesora Mariana Osińskiegogdańsk",669 000 zł,13118 zł/m2,51,4,2
"Gdańsk Zakoniczyn, Świrskiego",629 000 zł,9458 zł/m2,66.5,2,parter
Gdynia Pogórze,790 000 zł,11897 zł/m2,66.4,3,4
"Gdańsk Wrzeszcz, Edwarda Stachury",2 200 000 zł,23812 zł/m2,92.39,3,5
"Gdańsk Jasień, Potęgowska",355 564 zł,9909 zł/m2,35.88,2,2
"Gdańsk Orunia, Głucha",475 000 zł,8962 zł/m2,53,3,parter
"Gdańsk Wrzeszcz, Jaśkowa Dolina",1 421 000 zł,20300 zł/m2,70,3,1
"Gdańsk Przymorze, Czarny Dwór",890 000 zł,27385 zł/m2,32.5,2,parter
"Sopot Dolny Sopot, Jana Sobieskiego",1 399 000 zł,21197 zł/m2,66,4,1
"Gdynia Działki Leśne, Słupecka",899 000 zł,11813 zł/m2,76.1,2,parter
"Gdańsk Ujeścisko, Pastelowa",487 000 zł,13475 zł/m2,36.14,1,7
"Gdynia Obłuże, Płk. Stanisława Dąbka",655 000 zł,7987 zł/m2,82,3,3
"Gdańsk Nowy Port, Strajku Dokerów",469 000 zł,9250 zł/m2,50.7,1,3
"Gdańsk Wrzeszcz, Zygmunta Augusta",380 000 zł,9500 zł/m2,40,3,2
"Gdańsk Chełm, Stanisława Hebanowskiego",669 000 zł,10790 zł/m2,62,2,parter
"Gdańsk Śródmieście, Chmielna",629 000 zł,27918 zł/m2,22.53,4,4
"Gdańsk Stogi, Szpaki",479 000 zł,9020 zł/m2,53.1,2,2
"Gdynia Działki Leśne, Warszawska",549 000 zł,9768 zł/m2,56.2,3,2
"Gdynia Leszczynki, Morska",775 000 zł,10730 zł/m2,72.23,4,parter
"Gdańsk Przymorze, Piastowska",1 120 000 zł,23333 zł/m2,48,2,1
