Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk Śródmieście, Chmielna",1 850 000 zł,33124 zł/m2,55.85,2,5
"Gdynia Śródmieście, 10 Lutego",3 950 000 zł,35483 zł/m2,111.32,3,parter
"Gdynia Orłowo, Klonowa",903 000 zł,14995 zł/m2,60.22,3,parter
"Gdynia Orłowo, Klonowa",905 000 zł,14840 zł/m2,60.98,3,6
"Sopot Wyścigi / Karlikowo, Bitwy Pod Płowcami",1 330 000 zł,17073 zł/m2,77.9,4,1
"Gdynia Redłowo, Powstania Śląskiego",569 000 zł,13771 zł/m2,41.32,2,1
Gdańsk Nowy Port,475 000 zł,8333 zł/m2,57,3,parter
"Gdynia Babie Doły, Ikara 14",590 000 zł,10409 zł/m2,56.68,3,1
"Gdańsk Żabianka, Subisława",575 000 zł,10249 zł/m2,56.1,3,4
"Gdańsk Morena, Burgaska",649 000 zł,8988 zł/m2,72.2,3,parter
"Gdańsk Wrzeszcz, Bolesława Chrobrego",560 000 zł,12174 zł/m2,46,2,12
"Gdańsk Wrzeszcz, Partyzantów",2 149 000 zł,15572 zł/m2,138,3,1
"Gdańsk Strzyża, Karola Szymanowskiego",1 190 000 zł,20081 zł/m2,59.26,3,1
"Gdańsk Wrzeszcz, Gen. Józefa Hallera",1 488 000 zł,18577 zł/m2,80.1,3,3
"Gdynia Wielki Kack, Lipowa",649 000 zł,12245 zł/m2,53,3,1
"Gdańsk Przymorze, Opolska",365 000 zł,13519 zł/m2,27,1,3
"Gdańsk Morena, Morenowe Wzgórze",1 099 000 zł,11424 zł/m2,96.2,5,1
"Gdańsk Suchanino, Taborowa",569 000 zł,7148 zł/m2,79.6,3,parter
"Gdańsk Wrzeszcz, Jana Kilińskiego",369 000 zł,12098 zł/m2,30.5,2,11
"Gdańsk Morena, Heleny Marusarzówny",470 000 zł,8672 zł/m2,54.2,3,2
Gdańsk Siedlce,529 000 zł,8729 zł/m2,60.6,3,3
"Gdańsk Oliwa, Opacka",642 000 zł,21400 zł/m2,30,1,5
"Gdańsk Siedlce, Lecha Bądkowskiego",649 000 zł,9953 zł/m2,65.2,3,3
"Sopot Dolny Sopot, Karlikowska",570 000 zł,18387 zł/m2,31,2,2
"Gdańsk Św. Wojciech, Kazimierza Wielkiego",550 000 zł,9892 zł/m2,55.6,3,parter
"Gdańsk Karczemki, Kalinowa",699 000 zł,6594 zł/m2,106,4,2
"Gdynia Grabówek, Beniowskiego",428 000 zł,12969 zł/m2,33,3,2
"Gdynia Śródmieście, 10 Lutego",699 000 zł,21614 zł/m2,32.34,1,4
"Gdańsk Morena, Powstania Styczniowego",730 000 zł,9511 zł/m2,76.75,3,2
"Gdańsk Orunia, Przyjemna",399 000 zł,9194 zł/m2,43.4,2,1
"Gdynia Babie Doły, Ikara 14",499 000 zł,11287 zł/m2,44.21,2,8
"Sopot Górny Sopot, 23 Marca",569 000 zł,10683 zł/m2,53.26,3,3
"Gdańsk, Subisława",770 000 zł,11544 zł/m2,66.7,3,parter
"Gdańsk Śródmieście, Wałowa",550 000 zł,11286 zł/m2,48.73,2,8
"Gdańsk Wrzeszcz, Partyzantów 10",2 599 000 zł,18859 zł/m2,137.81,3,2
"Gdańsk Kowale, Apollina 19",479 000 zł,8258 zł/m2,58,3,3
Gdańsk Łostowice,549 216 zł,7184 zł/m2,76.44,4,2
"Gdańsk Jasień, Połczyńska 24",649 000 zł,8693 zł/m2,74.65,4,1
"Gdańsk Wrzeszcz, Grudziądzka",699 000 zł,18973 zł/m2,36.84,2,2
"Gdańsk Orunia Górna, Gen. Leopolda Okulickiego",540 000 zł,10821 zł/m2,49.9,2,2
"Gdańsk Chełm, Zamiejska",649 000 zł,10220 zł/m2,63.5,3,8
"Gdańsk Letnica, Sucha",600 000 zł,13976 zł/m2,42.93,2,1
"Gdańsk Jasień, Myśliwska",1 400 000 zł,13814 zł/m2,101.34,4,parter
"Gdańsk Morena, Stanisława Lema",780 000 zł,12856 zł/m2,60.67,3,parter
"Gdańsk Łostowice, Hokejowa",550 000 zł,10488 zł/m2,52.44,3,1
"Gdańsk Śródmieście, Św. Ducha",920 000 zł,13939 zł/m2,66,3,parter
"Gdańsk Jasień, Leszczynowa",599 000 zł,10767 zł/m2,55.63,3,3
"Gdańsk Długie Ogrody, Szafarnia",1 750 000 zł,20492 zł/m2,85.4,3,2
"Gdańsk Morena, Myśliwska",830 000 zł,10602 zł/m2,78.28,4,4
"Gdańsk Ujeścisko, Nieborowska",650 000 zł,11047 zł/m2,58.84,3,1
